experiment,fold,strategy,params,risk_fraction,direction_mode,session_preset,cooldown_bars_after_stop,minimum_stop_distance_to_cost,cost_multiplier,total_return_pct,max_drawdown_pct,trade_count
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-2.19802556675055,3.460256991031463,1
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-2.19802556675055,3.460256991031463,1
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-2.564430560514064,2.564430560514064,1
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,-2.6634969653694607,2.6634969653694607,1
breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime=none,1,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.0,-10.886832537231273,18.88469454925714,51
breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime=none,1,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.5,-1.7693519028307514,15.392993986952398,43
breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime=none,2,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.0,-18.126941207557824,26.977678598824983,58
